Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
26,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36,1985,3.7,0,1,0,0,0.27,0,0,,23.4,0,0,0,0,0,0.03,0,0,Matches,8449bfda
27,Jozy Altidore,us USA,FWMF,New England,32,1989,6.6,1,14,2,14.3,2.11,0.3,0.07,0.5,15.8,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches,8db8ad1e
28,Efrain Alvarez,mx MEX,MFFW,LA Galaxy,19,2002,15.5,3,49,17,34.7,3.17,1.1,0.06,0.18,21.1,3,0,0,4.2,4.2,0.09,-1.2,-1.2,Matches,3cd08ab7
29,Luis Amarilla,py PAR,FW,Minnesota Utd,26,1995,26.1,9,76,26,34.2,2.91,1,0.12,0.35,15.9,0,0,0,9,9,0.12,0,0,Matches,fa66adb6
30,Frankie Amaya,us USA,MF,NY Red Bulls,21,2000,22,1,15,7,46.7,0.68,0.32,0.07,0.14,26.4,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches,2e8bd00c
31,Mikey Ambrose,us USA,DF,Atlanta Utd,28,1993,0.5,0,1,0,0,1.96,0,0,,20.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,f649d6aa
32,Malte Amundsen,dk DEN,DF,NYCFC,23,1998,23.3,0,14,1,7.1,0.6,0.04,0,0,20.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,83b6e15d
33,Max Anchor,ca CAN,GK,Vancouver,17,2004,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,d6aa8848
34,Sebastian Anderson,us USA,DFMF,Colorado Rapids,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3a9911ce
35,José Andrés Martínez,ve VEN,MF,Philadelphia,27,1994,28,0,30,4,13.3,1.07,0.14,0,0,30,1,0,0,0.9,0.9,0.03,-0.9,-0.9,Matches,c8364e8e
36,Iván Angulo,co COL,FW,Orlando City,22,1999,6.1,0,14,5,35.7,2.3,0.82,0,0,17.8,0,0,0,0.9,0.8,0.06,-0.9,-0.8,Matches,55a5d959
37,Jalil Anibaba,us USA,DF,Columbus Crew,33,1988,2.5,0,1,0,0,0.4,0,0,,7.1,0,0,0,0,0,0.03,0,0,Matches,e44593b0
38,Themi Antonoglou,ca CAN,DF,Toronto FC,20,2001,0.5,0,1,0,0,2.2,0,0,,10.6,0,0,0,0,0,0.04,0,0,Matches,b137ee51
39,Brian Anunga,cm CMR,MF,Nashville,25,1996,9.4,0,4,0,0,0.43,0,0,,26.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,17b28ec7
40,Cristian Arango,co COL,FW,Los Angeles FC,26,1995,26,16,106,45,42.5,4.08,1.73,0.14,0.33,18,6,1,2,16.3,14.7,0.14,-0.3,0.3,Matches,fea9401e
41,César Araujo,uy URU,MF,Orlando City,20,2001,27.3,0,17,2,11.8,0.62,0.07,0,0,25.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches,3ed214ff
42,Julian Araujo,mx MEX,DF,LA Galaxy,20,2001,30.5,0,14,2,14.3,0.46,0.07,0,0,17.3,0,0,0,1.5,1.5,0.11,-1.5,-1.5,Matches,8f4541c2
43,Luiz Araújo,br BRA,FWMF,Atlanta Utd,25,1996,24.3,4,97,31,32,3.99,1.27,0.04,0.13,21,4,0,1,9,8.2,0.08,-5,-4.2,Matches,fa18c72e
