Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
594,Pierre Reedy,us USA,MF,Real Salt Lake,24,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,903f2d95
595,Eric Remedi,ar ARG,MF,San Jose,26,1995,25,18,1444,16,0,0,0,0,0,0,9,0,0.3,0.3,0.5,0.8,14,83,8,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches,38e2cbd6
596,Justin Rennicks,us USA,FW,New England,22,1999,17,11,780,8.7,2,0,2,2,0,0,0,0,1.7,1.7,0.3,2,10,3,48,0.23,0,0.23,0.23,0.23,0.2,0.03,0.23,0.2,0.23,Matches,0aaa1c04
597,Ben Reveno,us USA,FW,New England,22,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6f0a801a
598,Andrés Reyes,co COL,DF,NY Red Bulls,22,1999,12,8,695,7.7,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,31,5,0,0,0,0,0,0.04,0.05,0.08,0.04,0.08,Matches,36ab14f5
599,Yordy Reyna,pe PER,MFFW,Charlotte,28,1993,19,10,845,9.4,3,3,6,3,0,0,1,0,2.2,2.2,2,4.2,26,37,76,0.32,0.32,0.64,0.32,0.64,0.23,0.21,0.45,0.23,0.45,Matches,eec316d9
600,Andre Reynolds II,us USA,FWDF,Chicago Fire,20,2001,12,4,404,4.5,0,0,0,0,0,0,1,0,0,0,0,0,4,9,16,0,0,0,0,0,0,0,0,0,0,Matches,d46dbe4f
601,Emanuel Reynoso,ar ARG,MFFW,Minnesota Utd,26,1995,29,29,2517,28,10,6,16,7,3,4,10,0,7.8,4.5,8.1,12.6,117,261,212,0.36,0.21,0.57,0.25,0.46,0.28,0.29,0.57,0.16,0.45,Matches,614b26e3
602,Spencer Richey,us USA,GK,Chicago Fire,29,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d9178ea2
603,Will Richmond,us USA,MFFW,San Jose,21,2000,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,e46ee2e9
604,Tosaint Ricketts,ca CAN,FWDF,Vancouver,34,1987,23,2,450,5,4,1,5,4,0,0,0,0,2.5,2.5,0.2,2.7,4,6,25,0.8,0.2,1,0.8,1,0.5,0.05,0.55,0.5,0.55,Matches,54769358
605,Emiliano Rigoni,ar ARG,FW,Austin,28,1993,7,3,283,3.1,0,0,0,0,0,0,0,0,0.1,0.1,1.1,1.2,7,4,29,0,0,0,0,0,0.04,0.35,0.39,0.04,0.39,Matches,a1216563
606,Alexander Ring,fi FIN,MF,Austin,30,1991,34,32,2780,30.9,4,3,7,4,0,0,7,0,5,5,3.3,8.3,41,177,118,0.13,0.1,0.23,0.13,0.23,0.16,0.11,0.27,0.16,0.27,Matches,6c1221d6
607,Rocco Ríos Novo,ar ARG,GK,Atlanta Utd,19,2002,16,15,1395,15.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f59bd2d3
608,Damien Rivera,us USA,FWMF,New England,19,2002,13,4,417,4.6,1,0,1,1,0,0,1,0,0.9,0.9,0.2,1.1,12,11,38,0.22,0,0.22,0.22,0.22,0.19,0.04,0.24,0.19,0.24,Matches,2822f3dd
609,Nigel Robertha,nl NED,FWMF,D.C. United,23,1998,17,5,715,7.9,1,3,4,1,0,0,2,0,0.7,0.7,2.3,3,29,13,82,0.13,0.38,0.5,0.13,0.5,0.09,0.29,0.38,0.09,0.38,Matches,a94bad97
610,Miles Robinson,us USA,DF,Atlanta Utd,24,1997,9,8,659,7.3,0,0,0,0,0,0,3,1,0.4,0.4,0.1,0.5,5,37,1,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches,782a95d9
611,Robbie Robinson,us USA,FWMF,Inter Miami,23,1998,8,6,485,5.4,1,1,2,1,0,0,0,0,0.6,0.6,0.8,1.5,25,17,33,0.19,0.19,0.37,0.19,0.37,0.12,0.16,0.27,0.12,0.27,Matches,e0dae99f
612,Harrison Robledo,us USA,MFDF,FC Cincinnati,19,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,2,2,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches,1f36ce15
613,Rodrigues,br BRA,DF,San Jose,24,1997,7,7,622,6.9,0,0,0,0,0,0,2,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,Matches,67f5e064
614,Abraham Rodriguez,us USA,GK,Colorado Rapids,19,2002,1,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c7e14787
