,Player,POS,Club,GP,GS,MINS,G,A,YC,RC,SHTS,SOG,SOG%,SC%,Year,best_11,W,L,D,GD
5577,Aaron Wheeler,F,PHI,10,1,129,1,1,1,0,8,5,62.5,12.5,2013,0,12.0,12.0,10.0,-2.0
5578,Aaron Schoenfeld,F,MIN,10,3,310,1,1,2,0,10,3,30.0,10.0,2013,0,,,,
5579,Andrea Pisanu,M,MTL,14,8,631,1,1,2,0,10,4,40.0,10.0,2013,0,14.0,13.0,7.0,1.0
5580,Steven Caldwell,D,TOR,23,23,2066,1,1,4,1,12,4,33.33,8.3,2013,0,6.0,17.0,11.0,-17.0
5581,Bradley Wright-Phillips,F,NY,7,4,337,1,1,1,0,12,6,50.0,8.3,2013,0,17.0,9.0,8.0,17.0
5582,Alvaro Rey,M,TOR,13,9,770,1,1,1,0,12,4,33.33,8.3,2013,0,6.0,17.0,11.0,-17.0
5583,Servando Carrasco,M,HOU,22,13,1256,1,1,2,0,13,2,15.38,7.7,2013,0,14.0,11.0,9.0,0.0
5584,Darren O'Dea,D,TOR,17,17,1530,1,1,3,0,13,4,30.77,7.7,2013,0,6.0,17.0,11.0,-17.0
5585,Laurent Courtois,M,CHV,11,3,348,1,1,1,0,15,4,26.67,6.7,2013,0,6.0,20.0,8.0,-37.0
5586,Andrew Jean-Baptiste,D,POR,26,22,2142,1,1,4,0,15,5,33.33,6.7,2013,0,14.0,5.0,15.0,21.0
5587,Victor Bernardez,D,SJ,25,25,2233,1,1,9,2,17,4,23.53,5.9,2013,0,14.0,11.0,9.0,-7.0
5588,Ben Speas,M,CLB,19,10,935,1,1,0,0,18,4,22.22,5.6,2013,0,12.0,17.0,5.0,-4.0
5589,Ryan Finley,F,CLB,14,3,430,1,1,0,0,18,5,27.78,5.6,2013,0,12.0,17.0,5.0,-4.0
5590,Sanna Nyassi,M,MTL,22,11,1162,1,1,2,0,20,9,45.0,5.0,2013,0,14.0,13.0,7.0,1.0
5591,Khari Stephenson,M,RSL,19,9,791,1,1,2,0,21,7,33.33,4.8,2013,0,16.0,10.0,8.0,16.0
5592,Justin Meram,M,RSL,19,9,781,1,1,1,0,21,6,28.57,4.8,2013,0,16.0,10.0,8.0,16.0
5593,Marvin Chavez,M,SJ,15,12,1053,1,1,2,1,22,4,18.18,4.5,2013,0,14.0,11.0,9.0,-7.0
5594,Alex,M,CHI,30,18,1625,1,1,2,0,34,9,26.47,2.9,2013,0,14.0,13.0,7.0,-5.0
5595,Michael Farfan,M,PHI,29,22,1991,1,1,6,0,40,18,45.0,2.5,2013,0,12.0,12.0,10.0,-2.0
5596,Cole Grossman,M,RSL,4,2,160,1,0,0,0,2,1,50.0,50.0,2013,0,16.0,10.0,8.0,16.0
5597,Charlie Rugg,F,LA,4,2,151,1,0,0,0,2,1,50.0,50.0,2013,0,15.0,11.0,8.0,15.0
5598,Kofi Opare,D,LA,6,6,534,1,0,1,0,2,1,50.0,50.0,2013,0,15.0,11.0,8.0,15.0
5599,Sal Zizzo,D,POR,10,2,255,1,0,0,0,2,2,100.0,50.0,2013,0,14.0,5.0,15.0,21.0
5600,Stephen Keel,D,DAL,8,5,497,1,0,1,0,3,1,33.33,33.3,2013,0,11.0,12.0,11.0,-4.0
5601,Giovani Casillas,F,CHV,5,2,182,1,0,0,0,3,1,33.33,33.3,2013,0,6.0,20.0,8.0,-37.0
5602,A.J. Soares,D,NE,18,17,1476,1,0,3,0,5,1,20.0,20.0,2013,0,14.0,11.0,9.0,11.0
5603,Karl Ouimette,D,MTL,7,6,547,1,0,0,0,5,1,20.0,20.0,2013,0,14.0,13.0,7.0,1.0
5604,Glauber,D,CLB,13,13,1169,1,0,5,0,5,2,40.0,20.0,2013,0,12.0,17.0,5.0,-4.0
5605,Joaquin Velazquez,D,CHV,12,12,985,1,0,3,1,5,4,80.0,20.0,2013,0,6.0,20.0,8.0,-37.0
5606,Bakary Soumare,D,CHI,25,25,2180,1,0,5,2,6,2,33.33,16.7,2013,0,14.0,13.0,7.0,-5.0
5607,Shalrie Joseph,M,SEA,10,6,592,1,0,1,1,6,3,50.0,16.7,2013,0,15.0,12.0,7.0,0.0
5608,Oswaldo Minda,M,CHV,16,15,1224,1,0,6,0,6,1,16.67,16.7,2013,0,6.0,20.0,8.0,-37.0
5609,Maximiliano Urruti,F,MTL,7,4,351,1,0,1,0,6,2,33.33,16.7,2013,0,14.0,13.0,7.0,1.0
5610,Rafael,F,DC,7,4,331,1,0,1,0,7,2,28.57,14.3,2013,0,3.0,24.0,7.0,-37.0
5611,Bright Dike,F,POR,7,5,430,1,0,1,0,7,3,42.86,14.3,2013,0,14.0,5.0,15.0,21.0
5612,Matias Laba,M,TOR,16,16,1414,1,0,5,0,7,4,57.14,14.3,2013,0,6.0,17.0,11.0,-17.0
5613,Jamie Smith,M,COL,6,1,168,1,0,0,0,7,3,42.86,14.3,2013,0,14.0,11.0,9.0,7.0
5614,Mario De Luna,D,CHV,30,30,2637,1,0,6,0,7,2,28.57,14.3,2013,0,6.0,20.0,8.0,-37.0
5615,Djimi Traore,D,SEA,27,25,2235,1,0,5,0,9,1,11.11,11.1,2013,0,15.0,12.0,7.0,0.0
5616,Ryan Guy,M,NE,11,8,636,1,0,0,0,10,2,20.0,10.0,2013,0,14.0,11.0,9.0,11.0
5617,Collen Warner,M,COL,17,9,876,1,0,2,0,10,3,30.0,10.0,2013,0,14.0,11.0,9.0,7.0
5618,Yordany Alvarez,M,RSL,18,11,981,1,0,5,2,10,5,50.0,10.0,2013,0,16.0,10.0,8.0,16.0
5619,Jaime Castrillon,M,COL,11,2,371,1,0,0,0,12,5,41.67,8.3,2013,0,14.0,11.0,9.0,7.0
5620,Juan Toja,M,NE,18,11,905,1,0,3,0,12,3,25.0,8.3,2013,0,14.0,11.0,9.0,11.0
5621,Tony Cascio,M,COL,13,4,530,1,0,1,1,14,5,35.71,7.1,2013,0,14.0,11.0,9.0,7.0
5622,Jason Johnson,F,HOU,13,4,428,1,0,0,0,17,9,52.94,5.9,2013,0,14.0,11.0,9.0,0.0
5623,Jose Erick Correa,F,CHV,16,12,1054,1,0,0,0,18,11,61.11,5.6,2013,0,6.0,20.0,8.0,-37.0
5624,Jerry Bengtson,F,HON,16,12,1055,1,0,2,0,20,8,40.0,5.0,2013,0,,,,
5625,Chad Marshall,D,CLB,30,30,2638,1,0,2,0,21,8,38.1,4.8,2013,0,12.0,17.0,5.0,-4.0
5626,Clint Dempsey,M,SEA,9,6,651,1,0,1,0,32,7,21.88,3.1,2013,0,15.0,12.0,7.0,0.0
5627,Chris Klute,D,COL,31,30,2696,0,7,2,0,5,2,40.0,0.0,2013,0,14.0,11.0,9.0,7.0
5628,Lee Young-Pyo,D,VAN,32,30,2747,0,6,3,0,12,3,25.0,0.0,2013,0,13.0,12.0,9.0,8.0
5629,Brandon Barklage,D,NY,26,20,1723,0,5,1,1,12,3,25.0,0.0,2013,0,17.0,9.0,8.0,17.0
5630,Eddie Gaven,M,CLB,10,10,900,0,4,1,0,7,4,57.14,0.0,2013,0,12.0,17.0,5.0,-4.0
5631,Marc Burch,D,SEA,20,13,1158,0,4,0,0,8,0,0.0,0.0,2013,0,15.0,12.0,7.0,0.0
5632,Kofi Sarkodie,D,HOU,33,33,2948,0,4,7,0,12,2,16.67,0.0,2013,0,14.0,11.0,9.0,0.0
5633,Juninho Pernambucano,M,NY,13,10,984,0,4,5,1,19,3,15.79,0.0,2013,0,17.0,9.0,8.0,17.0
5634,Diego Chara,M,POR,31,31,2737,0,3,7,0,10,3,30.0,0.0,2013,0,14.0,5.0,15.0,21.0
5635,Seth Sinovic,D,NE,32,31,2773,0,3,5,0,16,5,31.25,0.0,2013,0,14.0,11.0,9.0,11.0
5636,Sebastian Velasquez,M,RSL,19,9,892,0,3,0,0,20,8,40.0,0.0,2013,0,16.0,10.0,8.0,16.0
5637,Carlos Borja,D,CHV,26,22,2010,0,2,5,0,2,0,0.0,0.0,2013,0,6.0,20.0,8.0,-37.0
5638,Brian Mullan,D,COL,16,15,1359,0,2,1,0,2,0,0.0,0.0,2013,0,14.0,11.0,9.0,7.0
5639,Kosuke Kimura,D,NY,24,15,1575,0,2,0,0,2,0,0.0,0.0,2013,0,17.0,9.0,8.0,17.0
5640,Heath Pearce,D,NY,14,11,1083,0,2,0,0,2,1,50.0,0.0,2013,0,17.0,9.0,8.0,17.0
5641,Andre Akpan,F,COL,8,1,134,0,2,0,0,4,0,0.0,0.0,2013,0,14.0,11.0,9.0,7.0
5642,Carlyle Mitchell,D,VAN,15,13,1179,0,2,3,0,5,1,20.0,0.0,2013,0,13.0,12.0,9.0,8.0
5643,Scott Caldwell,M,NE,29,23,2174,0,2,2,0,6,1,16.67,0.0,2013,0,14.0,11.0,9.0,11.0
5644,Marvell Wynne,D,COL,28,27,2315,0,2,1,0,6,2,33.33,0.0,2013,0,14.0,11.0,9.0,7.0
5645,Corey Ashe,M,HOU,30,29,2585,0,2,4,0,6,1,16.67,0.0,2013,0,14.0,11.0,9.0,0.0
5646,Matt Besler,D,KC,23,23,2070,0,2,2,0,6,0,0.0,0.0,2013,1,17.0,10.0,7.0,17.0
5647,Doneil Henry,D,TOR,20,19,1651,0,2,6,2,7,0,0.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5648,Todd Dunivant,D,LA,25,25,2228,0,2,2,0,8,3,37.5,0.0,2013,0,15.0,11.0,8.0,15.0
5649,Erik Hurtado,F,KC,15,4,489,0,2,0,0,13,3,23.08,0.0,2013,0,17.0,10.0,7.0,17.0
5650,Ramiro Corrales,M,SJ,12,11,870,0,2,3,0,14,2,14.29,0.0,2013,0,14.0,11.0,9.0,-7.0
5651,Rafael Baca,M,SJ,31,28,2379,0,2,6,1,30,7,23.33,0.0,2013,0,14.0,11.0,9.0,-7.0
5652,Michael Bustamante,M,NY,4,1,95,0,1,1,0,0,0,,0.0,2013,0,17.0,9.0,8.0,17.0
5653,Clyde Simms,M,NE,10,9,668,0,1,1,0,0,0,,0.0,2013,0,14.0,11.0,9.0,11.0
5654,Roy Miller,D,NY,17,16,1367,0,1,2,0,1,0,0.0,0.0,2013,0,17.0,9.0,8.0,17.0
5655,Darrius Barnes,D,NE,6,4,416,0,1,0,0,1,0,0.0,0.0,2013,0,14.0,11.0,9.0,11.0
5656,Mark Bloom,D,TOR,6,6,540,0,1,0,0,1,1,100.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5657,Alexander Lopez,M,HON,2,1,88,0,1,0,0,1,1,100.0,0.0,2013,0,,,,
5658,Wandrille Lefevre,D,MTL,6,4,397,0,1,2,0,2,1,50.0,0.0,2013,0,14.0,13.0,7.0,1.0
5659,Ruben Bover,M,NY,7,1,125,0,1,0,0,2,0,0.0,0.0,2013,0,17.0,9.0,8.0,17.0
5660,Walter Vilchez,D,CHV,11,11,970,0,1,3,0,2,1,50.0,0.0,2013,0,6.0,20.0,8.0,-37.0
5661,Alessandro Nesta,D,MTL,23,23,1939,0,1,0,1,2,0,0.0,0.0,2013,0,14.0,13.0,7.0,1.0
5662,Pablo Mastroeni,M,COL,16,8,571,0,1,1,0,3,0,0.0,0.0,2013,0,14.0,11.0,9.0,7.0
5663,Dan Gargan,D,SJ,8,6,592,0,1,1,0,3,0,0.0,0.0,2013,0,14.0,11.0,9.0,-7.0
5664,Tyson Wahl,D,CLB,25,24,2155,0,1,4,0,3,2,66.67,0.0,2013,0,12.0,17.0,5.0,-4.0
5665,Michael Harrington,D,POR,33,33,2951,0,1,2,0,3,0,0.0,0.0,2013,0,14.0,5.0,15.0,21.0
5666,Josh Gardner,M,KC,8,2,244,0,1,0,0,3,0,0.0,0.0,2013,0,17.0,10.0,7.0,17.0
5667,Chad Barson,D,CLB,20,18,1612,0,1,0,0,3,0,0.0,0.0,2013,0,12.0,17.0,5.0,-4.0
5668,Jun Marques Davidson,M,VAN,26,24,1961,0,1,1,1,4,0,0.0,0.0,2013,0,13.0,12.0,9.0,8.0
5669,Ashtone Morgan,D,RSL,22,20,1805,0,1,4,1,4,1,25.0,0.0,2013,0,16.0,10.0,8.0,16.0
5670,Mechack Jerome,D,KC,10,8,677,0,1,2,0,5,3,60.0,0.0,2013,0,17.0,10.0,7.0,17.0
5671,Andy Dorman,M,NE,12,3,400,0,1,0,2,5,2,40.0,0.0,2013,0,14.0,11.0,9.0,11.0
5672,Daniel Woolard,D,DC,27,27,2235,0,1,3,0,5,3,60.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5673,Brian Ching,F,HOU,14,0,232,0,1,1,0,5,2,40.0,0.0,2013,0,14.0,11.0,9.0,0.0
5674,Abdoulie Mansally,D,RSL,14,9,774,0,1,3,1,5,1,20.0,0.0,2013,0,16.0,10.0,8.0,16.0
5675,Nana Attakora,D,SJ,8,7,657,0,1,0,0,6,0,0.0,0.0,2013,0,14.0,11.0,9.0,-7.0
5676,Marky Delgado,M,TOR,16,13,1247,0,1,2,0,6,0,0.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5677,Collin Martin,M,DC,7,4,359,0,1,1,0,6,1,16.67,0.0,2013,0,3.0,24.0,7.0,-37.0
5678,Mamadou Danso,D,POR,16,15,1360,0,1,2,1,6,0,0.0,0.0,2013,0,14.0,5.0,15.0,21.0
5679,Ryan Richter,D,TOR,13,12,1118,0,1,1,0,7,1,14.29,0.0,2013,0,6.0,17.0,11.0,-17.0
5680,Leonardo Gonzalez,D,SEA,27,27,2318,0,1,4,1,7,0,0.0,0.0,2013,0,15.0,12.0,7.0,0.0
5681,James Riley,D,DC,21,19,1760,0,1,4,0,7,3,42.86,0.0,2013,0,3.0,24.0,7.0,-37.0
5682,Jermaine Taylor,D,HOU,26,26,2142,0,1,0,1,8,0,0.0,0.0,2013,0,14.0,11.0,9.0,0.0
5683,Lovel Palmer,D,RSL,17,14,1198,0,1,4,1,8,0,0.0,0.0,2013,0,16.0,10.0,8.0,16.0
5684,Lewis Neal,M,DC,9,5,491,0,1,1,0,8,3,37.5,0.0,2013,0,3.0,24.0,7.0,-37.0
5685,Markus Holgersson,D,NY,32,32,2866,0,1,3,0,8,1,12.5,0.0,2013,0,17.0,9.0,8.0,17.0
5686,Wil Trapp,M,MIA,16,16,1389,0,1,3,0,8,0,0.0,0.0,2013,0,,,,
5687,Andrew Farrell,D,NE,32,32,2813,0,1,3,1,9,2,22.22,0.0,2013,0,14.0,11.0,9.0,11.0
5688,Danny Mwanga,F,COL,13,5,556,0,1,0,0,9,4,44.44,0.0,2013,0,14.0,11.0,9.0,7.0
5689,Tony Tchani,M,CLB,22,13,1324,0,1,3,0,9,1,11.11,0.0,2013,0,12.0,17.0,5.0,-4.0
5690,Tony Beltran,D,RSL,25,24,2230,0,1,2,1,9,3,33.33,0.0,2013,0,16.0,10.0,8.0,16.0
5691,Steve Zakuani,M,SEA,8,6,492,0,1,0,0,10,2,20.0,0.0,2013,0,15.0,12.0,7.0,0.0
5692,Teal Bunbury,F,NE,12,1,214,0,1,1,0,10,2,20.0,0.0,2013,0,14.0,11.0,9.0,11.0
5693,Reggie Lambe,M,TOR,28,20,1799,0,1,3,1,11,0,0.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5694,Sherjill MacDonald,F,CHI,13,7,579,0,1,0,0,11,5,45.45,0.0,2013,0,14.0,13.0,7.0,-5.0
5695,Jeff Parke,D,PHI,31,31,2744,0,1,3,0,11,2,18.18,0.0,2013,0,12.0,12.0,10.0,-2.0
5696,Gonzalo Segares,D,CHI,32,32,2855,0,1,8,0,12,3,25.0,0.0,2013,0,14.0,13.0,7.0,-5.0
5697,John Thorrington,M,DC,14,12,1052,0,1,4,0,12,4,33.33,0.0,2013,0,3.0,24.0,7.0,-37.0
5698,Brandon McDonald,D,DC,15,14,1235,0,1,1,0,12,4,33.33,0.0,2013,0,3.0,24.0,7.0,-37.0
5699,Mario Martinez,M,SEA,10,5,503,0,1,0,0,14,5,35.71,0.0,2013,0,15.0,12.0,7.0,0.0
5700,Matt Watson,M,VAN,21,15,1292,0,1,1,0,14,2,14.29,0.0,2013,0,13.0,12.0,9.0,8.0
5701,Eric Hassli,F,DAL,15,4,429,0,1,2,0,16,4,25.0,0.0,2013,0,11.0,12.0,11.0,-4.0
5702,Bobby Boswell,D,HOU,32,32,2830,0,1,3,1,16,3,18.75,0.0,2013,0,14.0,11.0,9.0,0.0
5703,Jack Jewsbury,M,POR,26,26,2240,0,1,0,0,17,2,11.76,0.0,2013,0,14.0,5.0,15.0,21.0
5704,Paulo Nagamura,M,KC,17,17,1468,0,1,3,0,17,4,23.53,0.0,2013,0,17.0,10.0,7.0,17.0
5705,Jacob Peterson,F,KC,16,10,844,0,1,0,0,17,4,23.53,0.0,2013,0,17.0,10.0,7.0,17.0
5706,Robbie Rogers,D,LA,11,7,602,0,1,0,0,18,6,33.33,0.0,2013,0,15.0,11.0,8.0,15.0
5707,Keon Daniel,M,PHI,24,20,1721,0,1,4,0,27,5,18.52,0.0,2013,0,12.0,12.0,10.0,-2.0
5708,Osvaldo Alonso,M,SEA,26,26,2179,0,1,3,2,33,4,12.12,0.0,2013,0,15.0,12.0,7.0,0.0
5709,Phillip Lund,M,SEA,1,0,16,0,0,0,0,0,0,,0.0,2013,0,15.0,12.0,7.0,0.0
5710,Yann Ekra,F,PHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,12.0,10.0,-2.0
5711,Michael Videira,M,CHI,2,1,84,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,-5.0
5712,Josue Martinez,F,NY,1,0,11,0,0,0,0,0,0,,0.0,2013,0,17.0,9.0,8.0,17.0
5713,Blair Gavin,M,SEA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,12.0,7.0,0.0
5714,Michael Thomas,M,KC,1,0,12,0,0,0,0,0,0,,0.0,2013,0,17.0,10.0,7.0,17.0
5715,David Horst,D,POR,2,2,108,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5716,Federico Bessone,D,KC,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,10.0,7.0,17.0
5717,Adam Johansson,D,SEA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,12.0,7.0,0.0
5718,Diego Calderon,D,COL,4,4,304,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,7.0
5719,Rauwshan McKenzie,D,POR,1,1,90,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5720,Ryan Miller,D,POR,7,4,350,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5721,Charlie Davies,F,NE,4,0,23,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,11.0
5722,Adrian Lopez,D,MTL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,1.0
5723,Nelson Rivas,D,MTL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,1.0
5724,Jason Hernandez,D,SJ,21,19,1679,0,0,2,0,0,0,,0.0,2013,0,14.0,11.0,9.0,-7.0
5725,Anthony Wallace,D,COL,6,0,107,0,0,1,0,0,0,,0.0,2013,0,14.0,11.0,9.0,7.0
5726,Calen Carr,F,HOU,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,0.0
5727,Ante Jazic,D,CHV,0,0,0,0,0,0,0,0,0,,0.0,2013,0,6.0,20.0,8.0,-37.0
5728,Ugo Ihemelu,D,DAL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,11.0,12.0,11.0,-4.0
5729,Sinisa Ubiparipovic,F,MTL,1,0,5,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,1.0
5730,Arne Friedrich,D,CHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,-5.0
5731,Julio Cesar,D,TOR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,6.0,17.0,11.0,-17.0
5732,Freddy Adu,F,PHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,12.0,10.0,-2.0
5733,Chris Albright,D,PHI,2,0,4,0,0,1,0,0,0,,0.0,2013,0,12.0,12.0,10.0,-2.0
5734,Robbie Russell,D,DC,1,0,6,0,0,0,0,0,0,,0.0,2013,0,3.0,24.0,7.0,-37.0
5735,Andrew Duran,D,SEA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,12.0,7.0,0.0
5736,Chandler Hoffman,F,LA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,11.0,8.0,15.0
5737,Greg Jordan,M,PHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,12.0,10.0,-2.0
5738,Bryan Gaul,D,LA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,11.0,8.0,15.0
5739,Brent Richards,F,POR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5740,Jacob Hustedt,M,SJ,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,-7.0
5741,Kenney Walker,M,LA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,11.0,8.0,15.0
5742,Tyler Polak,D,NE,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,11.0
5743,Brendan King,M,CHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,-5.0
5744,Calum Mallace,M,MTL,2,0,36,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,1.0
5745,Enzo Martinez,M,RSL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,16.0,10.0,8.0,16.0
5746,Matt Stinson,M,TOR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,6.0,17.0,11.0,-17.0
5747,Bilal Duckett,D,NE,1,1,90,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,11.0
5748,O'Brian Woodbine,D,NE,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,11.0
5749,Gilberto Souza Jr.,M,PHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,12.0,10.0,-2.0
5750,Aaron Horton,F,CLB,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,17.0,5.0,-4.0
5751,Connor Lade,D,NY,5,2,166,0,0,0,0,0,0,,0.0,2013,0,17.0,9.0,8.0,17.0
5752,Bryce Alderson,M,VAN,0,0,0,0,0,0,0,0,0,,0.0,2013,0,13.0,12.0,9.0,8.0
5753,Yann Songo'o,D,KC,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,10.0,7.0,17.0
5754,Maximiliano Rodriguez,M,MTL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,1.0
5755,Jimmy McLaughlin,M,CIN,0,0,0,0,0,0,0,0,0,,0.0,2013,0,,,,
5756,Corben Bone,M,CHI,1,0,3,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,-5.0
5757,Daniel Antunez,M,CHV,3,1,81,0,0,0,0,0,0,,0.0,2013,0,6.0,20.0,8.0,-37.0
5758,Digao,D,NY,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,9.0,8.0,17.0
5759,Paulo Jr.,F,VAN,0,0,0,0,0,0,0,0,0,,0.0,2013,0,13.0,12.0,9.0,8.0
5760,Abu Tommy,M,SJ,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,-7.0
5761,Rich Balchan,D,RSL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,16.0,10.0,8.0,16.0
5762,Alex Dixon,M,ROC,2,0,19,0,0,0,0,0,0,,0.0,2013,0,,,,
5763,Victor Ulloa,M,MIA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,,,,
5764,Jonathan Top,F,DAL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,11.0,12.0,11.0,-4.0
5765,Omar Salgado,F,VAN,0,0,0,0,0,0,0,0,0,,0.0,2013,0,13.0,12.0,9.0,8.0
5766,Davy Armstrong,M,COL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,7.0
5767,Victor Pineda,M,CHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,-5.0
5768,Michael Nanchoff,M,POR,1,0,8,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5769,Donnie Smith,M,NE,1,1,53,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,11.0
5770,Paolo DelPiccolo,M,MTL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,1.0
5771,Dylan Remick,D,SEA,1,0,25,0,0,0,0,0,0,,0.0,2013,0,15.0,12.0,7.0,0.0
5772,Emery Welshman,F,TOR,1,0,5,0,0,0,0,0,0,,0.0,2013,0,6.0,17.0,11.0,-17.0
5773,Anthony Arena,D,HOU,1,0,70,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,0.0
5774,Ashton Bennett,F,TOR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,6.0,17.0,11.0,-17.0
5775,Brenton Griffiths,D,COL,1,0,1,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,7.0
5776,Adam Clement,D,VAN,0,0,0,0,0,0,0,0,0,,0.0,2013,0,13.0,12.0,9.0,8.0
5777,Colin Mitchell,D,SJ,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,-7.0
5778,Taylor Morgan,F,TOR,1,0,15,0,0,0,0,0,0,,0.0,2013,0,6.0,17.0,11.0,-17.0
5779,Gabe Latigue,M,NE,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,11.0
5780,Emilio Orozco,D,CHV,0,0,0,0,0,0,0,0,0,,0.0,2013,0,6.0,20.0,8.0,-37.0
5781,Bryan Salazar,F,HOU,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,0.0
5782,Zakaria Messoudi,M,MTL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,1.0
5783,Dylan Tucker-Gangnes,D,POR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5784,Kyle Hyland,D,CLB,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,17.0,5.0,-4.0
5785,Christian Duke,M,KC,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,10.0,7.0,17.0
5786,Shawn Sloan,M,CLB,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,17.0,5.0,-4.0
5787,Peter McGlynn,M,SJ,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,-7.0
5788,Alam Syamsir,M,DC,0,0,0,0,0,0,0,0,0,,0.0,2013,0,3.0,24.0,7.0,-37.0
5789,Matt Horth,F,NE,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,11.0
5790,Rafinha,F,NY,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,9.0,8.0,17.0
5791,Sam Adekugbe,D,VAN,1,1,90,0,0,0,0,0,0,,0.0,2013,0,13.0,12.0,9.0,8.0
5792,Benji Lopez,F,RSL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,16.0,10.0,8.0,16.0
5793,Ashani Fairclough,D,SEA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,12.0,7.0,0.0
5794,Alexandre Gonzalez Emerson,F,SJ,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,-7.0
5795,Aminu Abdallah,M,VAN,0,0,0,0,0,0,0,0,0,,0.0,2013,0,13.0,12.0,9.0,8.0
