,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,best_11
668,Sergio Arias,CHV,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
669,Ian Joyce,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
670,Josh Lambo,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
671,Andrew Weber,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
672,Terry Boss,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
673,Steward Ceus,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
674,Jimmy Nielsen,KC,G,34,34,3060,102,77,27,0.79,4-Mar,18,7,9,15.0,52.9,75.5,2012,reg,1
675,Donovan Ricketts,MTL,G,33,33,2913,143,87,52,1.58,8-Aug,12,14,5,5.0,36.4,60.8,2012,reg,0
676,Andy Gruenebaum,CLB,G,33,33,2920,166,124,41,1.24,4-Mar,13,12,7,8.0,39.4,74.7,2012,reg,0
677,Tally Hall,HOU,G,33,33,2946,129,88,39,1.18,5-May,14,8,11,12.0,42.4,68.2,2012,reg,0
678,Jon Busch,SJ,G,32,32,2835,123,77,40,1.25,5-Apr,17,5,9,7.0,53.1,62.6,2012,reg,0
679,Matt Pickens,COL,G,32,32,2859,155,107,49,1.53,2-Jan,9,19,4,7.0,28.1,69.0,2012,reg,0
680,Dan Kennedy,CHV,G,32,32,2880,167,109,54,1.69,2-Feb,7,17,8,7.0,21.9,65.3,2012,reg,0
681,Zac MacMath,RSL,G,32,32,2880,139,93,43,1.34,4-Mar,10,17,5,8.0,31.3,66.9,2012,reg,0
682,Sean Johnson,NYC,G,31,31,2766,143,108,38,1.23,3-Feb,16,10,5,5.0,51.6,75.5,2012,reg,0
683,Troy Perkins,MTL,G,31,31,2767,148,101,43,1.39,4-Apr,8,14,8,7.0,25.8,68.2,2012,reg,0
684,Nick Rimando,RSL,G,31,31,2790,116,83,33,1.06,4-Feb,16,11,4,12.0,51.6,71.6,2012,reg,0
685,Kevin Hartman,DAL,G,30,30,2700,148,98,42,1.4,5-Feb,9,11,10,6.0,30.0,66.2,2012,reg,0
686,Matt Reis,NE,G,27,27,2430,133,92,39,1.44,3-Mar,6,14,7,6.0,22.2,69.2,2012,reg,0
687,Josh Saunders,LA,G,27,27,2430,118,80,36,1.33,0/1,16,7,4,9.0,59.3,67.8,2012,reg,0
688,Milos Kocic,TOR,G,27,27,2430,129,82,47,1.74,0/1,5,16,6,3.0,18.5,63.6,2012,reg,0
689,Joe Cannon,VAN,G,26,26,2277,109,73,34,1.31,2-Feb,8,10,7,8.0,30.8,67.0,2012,reg,0
690,Bill Hamid,DC,G,24,24,2087,113,88,24,1.0,1-Jan,13,6,4,8.0,54.2,77.9,2012,reg,0
691,Michael Gspurning,SEA,G,21,21,1845,77,59,15,0.71,2-Feb,12,4,5,8.0,57.1,76.6,2012,reg,0
692,Ryan Meara,NY,G,18,18,1620,90,59,27,1.5,1-Jan,9,5,4,3.0,50.0,65.6,2012,reg,0
693,Bill Gaudette,LA,G,15,15,1350,62,38,20,1.33,1-Jan,5,5,5,3.0,33.3,61.3,2012,reg,0
694,Bryan Meredith,VAN,G,12,10,990,36,20,14,1.4,0/0,3,3,5,3.0,25.0,55.6,2012,reg,0
695,Joe Willis,NSH,G,11,10,972,50,31,19,1.9,2-Feb,4,4,3,2.0,36.4,62.0,2012,reg,0
696,Brad Knighton,NE,G,10,8,782,36,27,7,0.88,0/1,3,3,3,3.0,30.0,75.0,2012,reg,0
697,Bobby Shuttleworth,CHI,G,7,7,630,29,23,5,0.71,0/0,3,3,1,3.0,42.9,79.3,2012,reg,0
698,Freddy Hall,TOR,G,7,7,630,42,27,15,2.14,1-Jan,0,5,2,1.0,0.0,64.3,2012,reg,0
699,Joe Bendik,PHI,G,5,3,326,21,11,8,2.67,2-Feb,0,2,3,0.0,0.0,52.4,2012,reg,0
700,Brian Perk,LA,G,4,4,360,13,7,7,1.75,2-Feb,0,3,1,0.0,0.0,53.8,2012,reg,0
701,Chris Seitz,DC,G,4,4,360,15,10,5,1.25,0/1,0,2,2,0.0,0.0,66.7,2012,reg,0
702,Luis Robles,NY,G,4,4,360,12,9,3,0.75,0/0,2,1,1,2.0,50.0,75.0,2012,reg,0
703,Matt Lampson,CLB,G,3,1,140,10,7,3,3.0,1-Jan,2,0,0,0.0,66.7,70.0,2012,reg,0
704,Steward Ceus,COL,G,3,2,201,5,4,1,0.5,0/0,2,0,0,2.0,66.7,80.0,2012,reg,0
705,Andrew Weber,SEA,G,3,3,225,9,5,4,1.33,0/0,0,1,1,0.0,0.0,55.6,2012,reg,0
706,David Bingham,LA,G,3,2,225,12,8,3,1.5,0/0,2,1,0,0.0,66.7,66.7,2012,reg,0
707,Paolo Tornaghi,CHI,G,3,3,270,17,14,3,1.0,0/0,1,1,1,1.0,33.3,82.4,2012,reg,0
708,Kyle Reynish,RSL,G,3,3,270,8,6,2,0.67,0/0,1,0,2,2.0,33.3,75.0,2012,reg,0
709,Tim Melia,CHV,G,2,2,180,13,9,4,2.0,0/0,0,1,1,0.0,0.0,69.2,2012,reg,0
710,Greg Sutton,MTL,G,1,0,24,1,0,1,1.0,0/0,0,1,0,0.0,0.0,0.0,2012,reg,0
711,Chris Konopka,PHI,G,1,1,90,7,6,1,1.0,0/0,0,1,0,0.0,0.0,85.7,2012,reg,0
712,Tyler Deric,HOU,G,1,1,90,9,7,2,2.0,0/0,0,1,0,0.0,0.0,77.8,2012,reg,0
713,Chase Harrison,PHI,G,1,1,90,3,2,1,1.0,0/0,0,0,1,0.0,0.0,66.7,2012,reg,0
714,Evan Bush,MTL,G,1,1,90,7,4,3,3.0,0/0,0,1,0,0.0,0.0,57.1,2012,reg,0
715,Brian Rowe,ORL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
716,Jeremy Vuolo,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
717,Erich Marscheider,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
718,Quillan Roberts,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
719,Lalo Fernandez,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
720,Patrick McLain,CHV,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
721,Scott Angevine,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
722,Tim Murray,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
723,Jon Kempin,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
724,Evan Newton,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
725,Josh Ford,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
726,Brian Sylvestre,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
727,Jake Gleeson,POR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
728,Richard Sanchez,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
729,Ian Joyce,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
730,Stefan Frei,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
731,Andrew Dykstra,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
732,Marcus Hahnemann,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
733,William Hesmer,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
734,Jay Nolly,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
735,Eric Kronberg,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2012,reg,0
736,Jimmy Nielsen,KC,G,34,34,3060,100,68,30,0.88,1-Jan,17,10,7,13.0,50.0,68.0,2013,reg,0
737,Luis Robles,NY,G,34,34,3060,147,103,41,1.21,10-Jul,17,9,8,11.0,50.0,70.1,2013,reg,0
738,Tally Hall,HOU,G,34,34,3060,141,95,41,1.21,4-Feb,14,11,9,9.0,41.2,67.4,2013,reg,0
739,Zac MacMath,RSL,G,34,34,3060,147,101,44,1.29,1-Jan,12,12,10,12.0,35.3,68.7,2013,reg,0
740,Joe Bendik,PHI,G,33,33,2970,139,90,46,1.39,2-Feb,6,16,11,4.0,18.2,64.7,2013,reg,0
741,Troy Perkins,MTL,G,33,33,2970,158,109,48,1.45,6-Apr,14,12,7,8.0,42.4,69.0,2013,reg,0
742,Jon Busch,SJ,G,33,33,2970,142,101,41,1.24,3-Mar,13,11,9,9.0,39.4,71.1,2013,reg,0
743,Clint Irwin,COL,G,32,31,2873,132,91,35,1.13,8-Jun,14,9,9,10.0,43.8,68.9,2013,reg,0
744,Donovan Ricketts,POR,G,32,32,2880,126,92,31,0.97,5-Apr,13,5,14,14.0,40.6,73.0,2013,reg,1
745,Dan Kennedy,CHV,G,31,31,2754,166,104,54,1.74,4-Mar,6,17,8,3.0,19.4,62.7,2013,reg,0
746,Michael Gspurning,SEA,G,28,28,2475,114,76,35,1.25,2-Feb,12,9,6,10.0,42.9,66.7,2013,reg,0
747,Sean Johnson,NYC,G,28,28,2520,132,93,39,1.39,4-Mar,12,10,6,6.0,42.9,70.5,2013,reg,0
748,Nick Rimando,RSL,G,27,27,2430,112,82,28,1.04,3-Jan,14,7,6,9.0,51.9,73.2,2013,reg,0
749,Raul Fernandez,DAL,G,26,26,2340,129,88,41,1.58,3-Feb,7,10,9,7.0,26.9,68.2,2013,reg,0
750,Bill Hamid,DC,G,25,25,2250,119,80,39,1.56,6-Apr,2,17,6,4.0,8.0,67.2,2013,reg,0
751,Bobby Shuttleworth,CHI,G,23,22,2063,96,64,30,1.36,3-Mar,7,11,5,9.0,30.4,66.7,2013,reg,0
752,Carlo Cudicini,LA,G,21,21,1890,68,39,27,1.29,0/1,9,8,4,7.0,42.9,57.4,2013,reg,0
753,Andy Gruenebaum,CLB,G,21,21,1890,100,71,28,1.33,2-Feb,5,11,5,4.0,23.8,71.0,2013,reg,0
754,David Ousted,VAN,G,13,13,1170,54,37,16,1.23,1-Jan,4,5,4,4.0,30.8,68.5,2013,reg,0
755,Matt Lampson,CLB,G,13,13,1170,63,43,18,1.38,3-Mar,7,6,0,5.0,53.8,68.3,2013,reg,0
756,Matt Reis,NE,G,12,12,995,37,29,8,0.67,0/0,7,0,4,5.0,58.3,78.4,2013,reg,0
757,Brad Knighton,NE,G,11,11,990,50,35,15,1.36,2-Feb,6,3,2,2.0,54.5,70.0,2013,reg,0
758,Joe Cannon,VAN,G,10,10,900,42,31,14,1.4,0/0,3,4,3,1.0,30.0,73.8,2013,reg,0
759,Jaime Penedo,LA,G,9,9,810,31,24,7,0.78,0/0,4,1,4,4.0,44.4,77.4,2013,reg,0
760,Joe Willis,NSH,G,9,9,810,47,28,20,2.22,1-Jan,1,7,1,1.0,11.1,59.6,2013,reg,0
761,Chris Seitz,DC,G,8,8,720,36,24,11,1.38,0/0,4,2,2,2.0,50.0,66.7,2013,reg,0
762,Paolo Tornaghi,CHI,G,6,6,540,24,12,13,2.17,0/0,2,3,1,0.0,33.3,50.0,2013,reg,0
763,Jeff Attinella,POR,G,5,4,399,24,14,9,2.25,3-Mar,1,2,1,1.0,20.0,58.3,2013,reg,0
764,Brian Rowe,ORL,G,4,4,360,19,14,4,1.0,0/0,2,2,0,2.0,50.0,73.7,2013,reg,0
765,Marcus Hahnemann,SEA,G,4,4,360,10,6,4,1.0,0/0,2,2,0,1.0,50.0,60.0,2013,reg,0
766,Andrew Weber,SEA,G,3,2,225,8,5,3,1.5,0/0,1,1,1,0.0,33.3,62.5,2013,reg,0
767,Josh Saunders,RSL,G,3,3,231,18,13,4,1.33,0/0,1,1,1,0.0,33.3,72.2,2013,reg,0
768,Matt Pickens,COL,G,2,2,97,4,2,2,1.0,0/0,0,1,0,0.0,0.0,50.0,2013,reg,0
769,Patrick McLain,CHV,G,2,1,124,10,4,6,6.0,1-Jan,0,1,0,0.0,0.0,40.0,2013,reg,0
770,Tim Melia,CHV,G,2,2,180,15,8,7,3.5,1-Jan,0,2,0,0.0,0.0,53.3,2013,reg,0
771,Milos Kocic,POR,G,2,2,180,10,7,2,1.0,0/0,1,0,1,1.0,50.0,70.0,2013,reg,0
772,Stefan Frei,SEA,G,1,1,90,3,2,1,1.0,1-Jan,0,1,0,0.0,0.0,66.7,2013,reg,0
773,Steward Ceus,COL,G,1,1,90,6,5,1,1.0,0/0,0,1,0,0.0,0.0,83.3,2013,reg,0
774,David Bingham,LA,G,1,1,90,8,7,1,1.0,0/0,1,0,0,0.0,100.0,87.5,2013,reg,0
775,Evan Bush,MTL,G,1,1,90,7,6,1,1.0,0/0,0,1,0,0.0,0.0,85.7,2013,reg,0
776,Ryan Meara,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
777,Santiago Castano,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
778,Luis Soffner,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
779,Kyle Zobeck,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
780,Daniel Withrow,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
781,Maxime Crepeau,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
782,Alec Kann,ATL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
783,Jesse Gonzalez,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
784,Evan Newton,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
785,Jake Gleeson,POR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
786,Richard Sanchez,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
787,Jon Kempin,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
788,Tyler Deric,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
789,Erich Marscheider,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
790,Quillan Roberts,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
791,Lalo Fernandez,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
792,Josh Ford,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
793,Simon Thomas,CAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
794,Andrew Dykstra,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
795,Brian Perk,LA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
796,Eric Kronberg,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
797,Chris Konopka,PHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
798,Kevin Hartman,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
799,Oka Nikolov,PHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2013,reg,0
800,Jon Busch,SJ,G,34,34,3060,191,137,50,1.47,10-Aug,6,16,12,6.0,17.6,71.7,2014,reg,0
801,Luis Robles,NY,G,34,34,3060,171,111,50,1.47,10-Aug,13,10,11,6.0,38.2,64.9,2014,reg,0
802,David Ousted,VAN,G,34,34,3060,140,96,40,1.18,5-May,12,8,14,13.0,35.3,68.6,2014,reg,0
803,Stefan Frei,SEA,G,34,34,3060,149,99,50,1.47,7-Jun,20,10,4,9.0,58.8,66.4,2014,reg,0
804,Steve Clark,POR,G,34,34,3060,153,111,42,1.24,4-Feb,14,10,10,8.0,41.2,72.5,2014,reg,0
805,Dan Kennedy,CHV,G,33,33,2957,155,93,57,1.73,4-Mar,9,18,6,6.0,27.3,60.0,2014,reg,0
806,Sean Johnson,NYC,G,33,33,2970,149,96,49,1.48,8-Jun,6,9,18,6.0,18.2,64.4,2014,reg,0
807,Donovan Ricketts,POR,G,32,32,2861,151,105,44,1.38,7-Jul,12,7,12,7.0,37.5,69.5,2014,reg,0
808,Bobby Shuttleworth,CHI,G,32,32,2880,141,94,40,1.25,4-Feb,16,12,4,8.0,50.0,66.7,2014,reg,0
809,Bill Hamid,DC,G,30,30,2700,146,110,34,1.13,5-May,14,9,7,10.0,46.7,75.3,2014,reg,1
810,Zac MacMath,RSL,G,29,29,2610,125,77,45,1.55,7-Apr,9,10,10,5.0,31.0,61.6,2014,reg,0
811,Jaime Penedo,LA,G,29,29,2610,115,81,33,1.14,3-Mar,15,7,7,8.0,51.7,70.4,2014,reg,0
812,Joe Bendik,PHI,G,27,27,2430,125,82,45,1.67,5-Apr,8,11,8,4.0,29.6,65.6,2014,reg,0
813,Clint Irwin,COL,G,26,25,2336,125,73,49,1.96,7-Jun,7,15,4,7.0,26.9,58.4,2014,reg,0
814,Tally Hall,HOU,G,24,24,2150,115,67,44,1.83,8-Jul,8,12,4,7.0,33.3,58.3,2014,reg,0
815,Nick Rimando,RSL,G,24,24,2160,97,71,25,1.04,5-Jan,13,4,7,7.0,54.2,73.2,2014,reg,0
816,Raul Fernandez,DAL,G,21,20,1818,95,66,25,1.25,4-Mar,9,8,3,4.0,42.9,69.5,2014,reg,0
817,Troy Perkins,MTL,G,21,21,1890,102,66,35,1.67,5-Apr,4,12,5,5.0,19.0,64.7,2014,reg,0
818,Eric Kronberg,KC,G,20,20,1800,73,45,22,1.1,5-May,7,8,5,7.0,35.0,61.6,2014,reg,0
819,Chris Seitz,DC,G,14,14,1242,67,44,20,1.43,0/1,7,4,3,2.0,50.0,65.7,2014,reg,0
820,Evan Bush,MTL,G,13,13,1170,79,52,23,1.77,2-Feb,2,6,5,3.0,15.4,65.8,2014,reg,0
821,Tyler Deric,HOU,G,11,10,910,53,36,14,1.4,3-Feb,3,5,2,3.0,27.3,67.9,2014,reg,0
822,Andy Gruenebaum,KC,G,11,11,945,45,34,12,1.09,1-Jan,6,3,2,3.0,54.5,75.6,2014,reg,0
823,Jeff Attinella,POR,G,10,10,900,60,45,14,1.4,5-Mar,2,4,4,3.0,20.0,75.0,2014,reg,0
824,Julio Cesar,BRA,G,7,7,630,27,18,9,1.29,2-Feb,3,4,0,2.0,42.9,66.7,2014,reg,0
825,John Berner,COL,G,5,5,450,12,6,6,1.2,0/0,1,1,3,2.0,20.0,50.0,2014,reg,0
826,Joe Nasco,COL,G,4,4,271,19,13,7,1.75,0/0,0,2,1,0.0,0.0,68.4,2014,reg,0
827,Jon Kempin,CLB,G,4,3,315,13,5,7,2.33,0/1,1,2,0,0.0,25.0,38.5,2014,reg,0
828,Rais MBolhi,ALG,G,4,4,360,13,7,4,1.0,0/0,1,1,2,1.0,25.0,53.8,2014,reg,0
829,Andrew Dykstra,DC,G,4,4,360,9,6,3,0.75,0/1,3,0,1,2.0,75.0,66.7,2014,reg,0
830,Andrew Weber,POR,G,3,2,198,16,8,8,4.0,3-Feb,0,2,1,0.0,0.0,50.0,2014,reg,0
831,Brian Rowe,ORL,G,3,3,270,13,10,3,1.0,0/0,1,0,2,1.0,33.3,76.9,2014,reg,0
832,Tim Melia,CHV,G,2,1,79,4,1,3,3.0,0/0,0,1,0,0.0,0.0,25.0,2014,reg,0
833,Brian Perk,LA,G,2,2,180,3,2,1,0.5,0/0,1,0,1,1.0,50.0,66.7,2014,reg,0
834,Brad Knighton,NE,G,2,2,180,12,6,6,3.0,1-Jan,1,1,0,0.0,50.0,50.0,2014,reg,0
835,Trevor Spangenberg,CHV,G,1,0,22,2,1,1,1.0,1-Jan,0,0,0,0.0,0.0,50.0,2014,reg,0
836,Andre Blake,PHI,G,1,1,90,8,7,2,2.0,0/0,0,1,0,0.0,0.0,87.5,2014,reg,0
837,Kyle Reynish,CHI,G,1,1,90,4,2,2,2.0,0/0,0,1,0,0.0,0.0,50.0,2014,reg,0
838,Chris Konopka,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
839,Marcus Hahnemann,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
840,Matt Pickens,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
841,Paolo Tornaghi,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
842,David Bingham,LA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
843,Jake Gleeson,POR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
844,Richard Sanchez,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
845,Joe Willis,NSH,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
846,Josh Ford,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
847,Marco Carducci,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
848,Billy Knutsen,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
849,Larry Jackson,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
850,Matt Lampson,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
851,Ryan Meara,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
852,Bryan Meredith,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
853,Quillan Roberts,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
854,Lalo Fernandez,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
855,Brian Holt,PHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
856,Michael Lisch,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
857,Santiago Castano,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
858,Brad Stuver,NYC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
859,Luis Soffner,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
860,Maxime Crepeau,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
861,Alec Kann,ATL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
862,Jesse Gonzalez,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2014,reg,0
863,Luis Robles,NY,G,34,34,3060,131,86,43,1.26,3-Feb,18,10,6,9.0,52.9,65.6,2015,reg,1
864,David Ousted,VAN,G,34,34,3060,137,99,36,1.06,6-Feb,16,13,5,13.0,47.1,72.3,2015,reg,0
865,David Bingham,LA,G,34,34,3060,147,105,39,1.15,6-Apr,13,13,8,12.0,38.2,71.4,2015,reg,0
866,Steve Clark,POR,G,34,34,3060,168,114,53,1.56,4-Apr,15,11,8,6.0,44.1,67.9,2015,reg,0
867,Adam Kwarasey,POR,G,33,33,2970,120,80,36,1.09,4-Apr,15,10,8,13.0,45.5,66.7,2015,reg,0
868,Josh Saunders,NYC,G,33,33,2970,188,123,57,1.73,7-Jun,10,16,7,4.0,30.3,65.4,2015,reg,0
869,Stefan Frei,SEA,G,31,31,2744,144,111,33,1.06,3-Feb,14,10,6,10.0,45.2,77.1,2015,reg,0
870,Bobby Shuttleworth,CHI,G,31,31,2790,125,78,41,1.32,6-May,13,11,7,8.0,41.9,62.4,2015,reg,0
871,Tyler Deric,HOU,G,31,31,2790,139,89,44,1.42,5-May,10,13,8,7.0,32.3,64.0,2015,reg,0
872,Evan Bush,MTL,G,31,31,2790,142,99,39,1.26,7-Jun,15,12,4,9.0,48.4,69.7,2015,reg,0
873,Clint Irwin,COL,G,31,31,2790,125,88,38,1.23,3-Mar,8,13,10,8.0,25.8,70.4,2015,reg,0
874,Bill Hamid,DC,G,25,25,2250,133,101,29,1.16,0/1,11,9,5,8.0,44.0,75.9,2015,reg,0
875,Nick Rimando,RSL,G,24,24,2160,93,66,24,1.0,8-May,8,9,7,8.0,33.3,71.0,2015,reg,0
876,Tally Hall,ORL,G,23,23,2064,114,73,41,1.78,5-Apr,10,8,5,5.0,43.5,64.0,2015,reg,0
877,Tim Melia,KC,G,23,23,2070,113,82,28,1.22,2-Feb,11,8,4,8.0,47.8,72.6,2015,reg,0
878,Sean Johnson,NYC,G,21,21,1890,90,59,32,1.52,3-Mar,5,11,5,4.0,23.8,65.6,2015,reg,0
879,Donovan Ricketts,LA,G,21,21,1890,92,58,32,1.52,4-Apr,7,9,5,3.0,33.3,63.0,2015,reg,0
880,Chris Konopka,TOR,G,21,21,1890,92,62,31,1.48,6-Apr,11,7,3,4.0,52.4,67.4,2015,reg,0
881,Dan Kennedy,DAL,G,16,16,1440,48,30,19,1.19,4-Mar,7,5,4,5.0,43.8,62.5,2015,reg,0
882,Jaime Penedo,LA,G,16,16,1440,69,50,19,1.19,1-Jan,6,4,6,5.0,37.5,72.5,2015,reg,0
883,Joe Bendik,PHI,G,13,13,1170,72,45,27,2.08,2-Feb,4,8,1,1.0,30.8,62.5,2015,reg,0
884,Jon Busch,CHI,G,12,12,1080,57,35,24,2.0,0/0,3,8,1,1.0,25.0,61.4,2015,reg,0
885,Brian Sylvestre,PHI,G,12,12,1080,50,30,19,1.58,2-Jan,5,6,1,5.0,41.7,60.0,2015,reg,0
886,John McCarthy,MIA,G,11,11,990,41,22,18,1.64,2-Feb,3,5,3,2.0,27.3,53.7,2015,reg,0
887,Jesse Gonzalez,DAL,G,11,11,990,47,37,10,0.91,4-Feb,7,3,1,5.0,63.6,78.7,2015,reg,0
